Managing Agency ID,Managing Agency Name,Managing Sub-agency or Bureau Name,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Name,International Category Name,International Sector Name,International Purpose Name,US Category Name,US Sector Name,Funding Account Name,Funding Agency Name,Funding Agency Acronym,Activity ID,Activity Name,Activity Description,Activity Project Number,Fiscal Year,Current Dollar Amount,Constant Dollar Amount
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Relief co-ordination; protection and support services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,187642,Emergency food assistance,Emergency humanitarian food and nutirition assistance,720BHA22IO00082,2022,25000000,24059426
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Relief co-ordination; protection and support services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,187622,Emergency food and nutrition assistance,Emergency humanitarian food and nutirition assistance,720BHA22IO00050,2022,19500000,18766352
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Relief co-ordination; protection and support services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,187423,Emergency Humanitarian Assistance,Emergency humanitarian food and nutirition assistance.,720BHA22IO00122,2022,12000000,11548525
1,U.S. Agency for International Development,Bureau for Resilience and Food Security,Church and Faith Based,Church and Faith Based - United States,Church and Faith Based - United States Redacted,Agriculture,Agriculture,Agricultural policy and administrative management,Economic Development,Agriculture,"Agency for International Development, Development Assistance",U.S. Agency for International Development,USAID,179492,"FY18 Development Food Assistance Program in Niger, Girma","The USAID Implementing Partner's Development Food Security Activity (DFSA) targets nearly 899,000 people using a multi-sectoral, layered, and participatory approach that is sensitive to gender, youth, persons with disabilities, and climate change. With interventions designed to strengthen maternal and child health, nutrition, agriculture, and civil society, the Implementing Partner intends to improve and sustain resilience and food and nutrition security among extremely poor and chronically vulnerable communities. This activity leverages gains and lessons learned from the Implementing Partners previous DFSA in Niger, which assisted approximately 600,000 people.",72DFFP18CA00003,2022,9933801,9560063
1,U.S. Agency for International Development,Bureau for Africa,Enterprises,Enterprises - United States,Enterprise - United States Redacted,Health and Population,Basic Health,Malaria control,Health,Malaria,"Department of State, Global Health Programs",Department of State,STATE,173837,Global Health Supply Chain - Procurement and Supply Management (GSHC-PSM) IDIQ - Malaria Task Order,"To provide USAID Missions, Bureaus and operating units with a worldwide mechanism to support the Presidents Malaria Initiatives and USAIDs goal of reducing the burden of malaria and supporting related activities pursuant to USAIDs maternal and child health and other infectious disease goals. It will primarily support USAIDs implementation of malaria programs through the procurement, management and delivery of high quality, safe and effective malaria commodities; the provision of on-the-ground logistics, supply  chain and related systems strengthening technical assistance and implementation capacity; and provide technical leadership to strengthen the global, demand, financing and introduction of existing and future malaria commodities.",AID-OAA-TO-15-00009,2022,6727500,6474392
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,212440,Title II Emergency Program,Title II Emergency Program through a partner of the US Agency for International Development.,720BHA22IO00104,2022,6186723,5953961
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,NGO,NGO - International,NGO - International Redacted,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Humanitarian Assistance,Disaster Readiness,Public Law 480 Title II Grants,Department of Agriculture,AGR,184655,Title II Food Aid: FY18 Award for Niger,"Through programming around three integrated intervention areasenhanced collective action to address food, nutrition, and water security; increased capacities, assets, and agency for improved access to food; and strengthened nutrition, health, hygiene, and sanitation[Redacted] plans to reach 189,000 people in Zinder. This activity links to the USAID Implementing Partner's earlier development activity, which achieved a statistically significant 11 percent decrease in the prevalence of poverty.",72DFFP18CA00009,2022,5934690,5711409
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,Government,Government - United States,U.S. Government - U.S. Agency for International Development,Humanitarian,Emergency Response,Relief co-ordination; protection and support services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,187283,Emergency Humanitarian Assistance,Action for emergency activities.,720BHA22GR00358,2022,5400000,5196836
1,U.S. Agency for International Development,Bureau for Humanitarian Assistance,NGO,NGO - United States,NGO - United States Redacted,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,179240,"Development Food Assistance Program in Niger, Hamzari","With its Development Food Security Activity targeting 120,000 people, the USAID Implementing Partner aims to build sustainable, equitable, and resilient food and nutrition security for vulnerable groups in Nigers Maradi Region. The Implementing Partner works to address four main drivers of hunger in Maradi: high vulnerability to shocks and extreme poverty; limited accessibility, availability, and utilization of nutritious foods; poor water, sanitation, and hygiene behaviors and inadequate access to water; and lack of livelihoods diversity.",72DFFP18CA00004,2022,4843531,4661303
3,Millennium Challenge Corporation,not applicable,Government,Government - United States,U.S. Government - Millennium Challenge Corporation,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Millennium Challenge Corporation, Expenses",Millennium Challenge Corporation,MCC,60926,MCC Program Administration and Control,Program Administration,NER-2750BXCOMD-PGM ADMIN-17,2022,4338963,4175718
